pair_id	Sentence_A	Sentence_B	relation	order	additional_dimension	origin	A_cause_B	B_cause_A	A_precede_B	B_precede_A	answers	majority_vote	average_vote	quest_label	connective	connected_sent	conn_in_list	correct_answer	answers_dict	generated_answer_normal	generated_answer_outlines	answer_greedy_cleaned
66	Karen tried to steal Silvia's boyfriend.	Karen is envious of Silvia's boyfriend.	causality	<B;A>	socially_challenging	origin	False	True	False	True	['NO', 'YES', 'YES', 'YES', 'NO', 'YES', 'NO', 'YES', 'YES', 'YES']	yes	0.4	AB_temp	because	Karen tried to steal Silvia's boyfriend, then Karen is envious of Silvia's boyfriend.	then	none	{'A': 'so', 'B': 'then', 'C': 'after', 'D': 'because'}	"1. Sentence A: ""Karen tried to steal Silvia's boyfriend.""
2. Sentence B: ""Karen is envious of Silvia's boyfriend.""
3. Words:  
- A. so  
- B. then  
- C. after  
-"	A	error
227	Clark checked if the book was available in the catalog.	Clark used his laptop to find the book's location.	temporal	<B;A>	none	Descript	False	False	False	True	['YES', 'NO', 'YES', 'NO', 'NO', 'YES', 'YES', 'NO', 'NO', 'YES']	inconclusive	0.0	BA_cause	after	Clark checked if the book was available in the catalog, because Clark used his laptop to find the book's location.	because	none	{'A': 'then', 'B': 'because', 'C': 'after', 'D': 'so'}	"1. Sentence A: ""Clark checked if the book was available in the catalog.""
2. Sentence B: ""Clark used his laptop to find the book's location.""
3. Words:  
- A. then  
- B. because  
-"	A	error
344	Matteo left the office.	Matteo returned home.	temporal	<A;B>	none	origin	False	False	True	False	['YES', 'YES', 'YES', 'NO', 'NO', 'YES', 'YES', 'NO', 'YES', 'YES']	yes	0.4	AB_cause	then	Matteo left the office, so Matteo returned home.	so	none	{'A': 'so', 'B': 'because', 'C': 'after', 'D': 'then'}	"1. Sentence A: ""Matteo left the office.""
2. Sentence B: ""Matteo returned home.""
3. Words:  
- A. so  
- B. because  
- C. after  
- D. then  
"	C	error
85	The girl had a nightmare.	The girl woke up suddenly.	causality	<A;B>	none	origin	True	False	True	False	['YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES']	yes	1.0	AB_cause	thus	The girl had a nightmare, so the girl woke up suddenly.	so	none	{'A': 'so', 'B': 'after', 'C': 'because', 'D': 'then'}	"1. Sentence A: ""The girl had a nightmare.""
2. Sentence B: ""The girl woke up suddenly.""
3. Words:  
- A. so  
- B. after  
- C. because  
- D. then  
4"	A	error
340	Matteo turned on the computer.	Matteo sat at the desk.	temporal	<B;A>	none	origin	False	False	False	True	['YES', 'NO', 'NO', 'YES', 'NO', 'NO', 'NO', 'NO', 'NO', 'YES']	no	-0.4	AB_temp	after	Matteo turned on the computer, then Matteo sat at the desk.	then	none	{'A': 'after', 'B': 'so', 'C': 'then', 'D': 'because'}	"1. Sentence A: ""Matteo turned on the computer.""
2. Sentence B: ""Matteo sat at the desk.""
3. Words:  
- A. after  
- B. so  
- C. then  
- D"	A	error
476	The airplane landed.	The train arrived at the train station.	no_rel	none	none	origin	False	False	False	False	['NO', 'YES', 'NO', 'NO', 'NO', 'NO', 'NO', 'NO', 'NO', 'NO']	no	-0.8	AB_cause	other	The airplane landed, so the train arrived at the train station.	so	none	{'A': 'because', 'B': 'after', 'C': 'then', 'D': 'so'}	"1. Sentence A: ""The airplane landed.""
2. Sentence B: ""The train arrived at the train station.""
3. Words:  
- A. because  
- B. after  
- C. then  
- D. so  
4"	B	error
550	Matt woke up.	Kevin yawned.	no_rel	none	none	origin	False	False	False	False	['NO', 'NO', 'NO', 'NO', 'NO', 'NO', 'NO', 'NO', 'YES', 'NO']	no	-0.8	BA_temp	other	Matt woke up, after Kevin yawned.	after	none	{'A': 'after', 'B': 'so', 'C': 'then', 'D': 'because'}	"1. Sentence A: ""Matt woke up.""
2. Sentence B: ""Kevin yawned.""
3. Words:  
- A. after  
- B. so  
- C. then  
- D. because  
4. Answer:"	C	error
253	Ross acted in the theater.	Ross bowed to the audience.	temporal	<A;B>	none	Descript	False	False	True	False	['YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES']	yes	1.0	AB_cause	then	Ross acted in the theater, so Ross bowed to the audience.	so	none	{'A': 'because', 'B': 'so', 'C': 'then', 'D': 'after'}	"1. Sentence A: ""Ross acted in the theater.""
2. Sentence B: ""Ross bowed to the audience.""
3. Words:  
- A. because  
- B. so  
- C. then  
- D. after  
4"	A	error
229	Mark planned his travel and booked the tickets.	Mark decided where he wanted to go on holiday.	temporal	<B;A>	none	Descript	False	False	False	True	['NO', 'NO', 'NO', 'NO', 'NO', 'NO', 'NO', 'YES', 'YES', 'NO']	no	-0.6	AB_cause	after	Mark planned his travel and booked the tickets, so Mark decided where he wanted to go on holiday.	so	none	{'A': 'then', 'B': 'so', 'C': 'because', 'D': 'after'}	"1. Sentence A: ""Mark planned his travel and booked the tickets.""
2. Sentence B: ""Mark decided where he wanted to go on holiday.""
3. Words:  
- A. then  
- B. so  
- C. because"	A	error
270	Gaia waited at the bus stop.	Gaia saw the bus approaching.	temporal	<A;B>	none	Descript	False	False	True	False	['NO', 'NO', 'NO', 'YES', 'YES', 'YES', 'YES', 'YES', 'NO', 'NO']	inconclusive	0.0	BA_cause	then	Gaia waited at the bus stop, because Gaia saw the bus approaching.	because	none	{'A': 'because', 'B': 'after', 'C': 'so', 'D': 'then'}	"1. Sentence A: ""Gaia waited at the bus stop.""
2. Sentence B: ""Gaia saw the bus approaching.""
3. Words:  
- A. because  
- B. after  
- C. so  
- D."	A	error
