pair_id,Sentence_A,Sentence_B,rating_anticonic_causal,rating_iconic_causal,rating_anticonic_temporal,rating_iconic_temporal,human_preferred_connective,human_preferred_connective_desc,additional_dimension
0,The man turned up the music late at night.,The man wanted to listen to the new album of his favourite rock band.,7.0,2.4,6.533333333333333,5.2,because,anticonic_caus,socially_challenging
0,The man wanted to listen to the new album of his favourite rock band.,The man turned up the music late at night.,2.7333333333333334,5.866666666666666,3.533333333333333,5.466666666666667,so,iconic_caus,socially_challenging
1,Sarah does not like to eat junk food.,Sarah is likely to throw away a bag of chips offered by her friend.,3.2,8.0,2.2,4.333333333333333,so,iconic_caus,socially_challenging
1,Sarah is likely to throw away a bag of chips offered by her friend.,Sarah does not like to eat junk food.,8.466666666666667,2.6666666666666665,2.1333333333333333,3.866666666666666,because,anticonic_caus,socially_challenging
2,The athlete was doped.,The athlete won the competition.,4.0,7.733333333333333,3.0,7.733333333333333,so,iconic_caus,socially_challenging
2,The athlete won the competition.,The athlete was doped.,7.0,2.1333333333333333,4.866666666666666,3.533333333333333,because,anticonic_caus,socially_challenging
3,John copied the test of the best student.,John got an A on the test.,2.533333333333333,8.533333333333333,2.8666666666666667,8.333333333333334,so,iconic_caus,socially_challenging
3,John got an A on the test.,John copied the test of the best student.,8.666666666666666,1.933333333333333,9.066666666666666,2.4,after,anticonic_temp,socially_challenging
4,The girl had not done her homework.,The girl skipped school.,6.266666666666667,8.133333333333333,5.8,5.333333333333333,so,iconic_caus,socially_challenging
4,The girl skipped school.,The girl had not done her homework.,9.066666666666666,4.933333333333334,5.466666666666667,3.066666666666667,because,anticonic_caus,socially_challenging
5,Mike stole a radio controlled car from a toy shop.,Mike wanted to have a radio controlled car.,8.8,3.933333333333333,5.4,2.333333333333333,because,anticonic_caus,socially_challenging
5,Mike wanted to have a radio controlled car.,Mike stole a radio controlled car from a toy shop.,3.2666666666666666,8.266666666666667,2.6666666666666665,6.0,so,iconic_caus,socially_challenging
6,Susan became a drug dealer.,Susan wanted to make fast money.,8.533333333333333,2.4,7.133333333333334,1.6666666666666667,because,anticonic_caus,socially_challenging
6,Susan wanted to make fast money.,Susan became a drug dealer.,2.466666666666667,9.266666666666667,4.466666666666667,7.266666666666667,so,iconic_caus,socially_challenging
7,Kevin has a lot of debts.,Kevin spends lots of money on gambling.,9.066666666666666,3.333333333333333,6.466666666666667,3.866666666666666,because,anticonic_caus,socially_challenging
7,Kevin spends lots of money on gambling.,Kevin has a lot of debts.,4.066666666666666,8.466666666666667,4.333333333333333,4.8,so,iconic_caus,socially_challenging
8,Whale meat is sold at a high price.,Whales are hunted.,6.666666666666667,8.333333333333334,5.533333333333333,3.333333333333333,so,iconic_caus,socially_challenging
8,Whales are hunted.,Whale meat is sold at a high price.,7.6,5.333333333333333,4.666666666666667,7.933333333333334,then,iconic_temp,socially_challenging
9,Mark is a Jehovah's Witness.,Mark refuses transfusions even if he is sick.,3.8,9.666666666666666,2.466666666666667,3.4,so,iconic_caus,socially_challenging
9,Mark refuses transfusions even if he is sick.,Mark is a Jehovah's Witness.,8.333333333333334,3.866666666666666,4.0,3.4,because,anticonic_caus,socially_challenging
10,Tom has gained weight in the last year.,"Tom's friends call him ""fatty"".",3.466666666666667,9.533333333333331,4.466666666666667,5.066666666666666,so,iconic_caus,socially_challenging
10,"Tom's friends call him ""fatty"".",Tom has gained weight in the last year.,9.266666666666667,2.6666666666666665,9.066666666666666,1.4,because,anticonic_caus,socially_challenging
11,Cindy can finally book a vacation around the world.,Cindy cheated to win the lottery.,6.666666666666667,2.466666666666667,7.866666666666666,1.4,after,anticonic_temp,socially_challenging
11,Cindy cheated to win the lottery.,Cindy can finally book a vacation around the world.,1.6666666666666667,7.2,4.466666666666667,5.066666666666666,so,iconic_caus,socially_challenging
12,Fred believes that women should take care of the house.,Fred does not allow his wife to work as CEO.,5.0,9.066666666666666,2.8,3.6666666666666665,so,iconic_caus,socially_challenging
12,Fred does not allow his wife to work as CEO.,Fred believes that women should take care of the house.,9.6,4.8,2.6666666666666665,2.2,because,anticonic_caus,socially_challenging
13,Brad runs the red light.,Brad wanted to go home to watch the football match.,9.133333333333333,2.0,3.333333333333333,4.066666666666666,because,anticonic_caus,socially_challenging
13,Brad wanted to go home to watch the football match.,Brad runs the red light.,1.4666666666666666,6.533333333333333,2.8666666666666667,5.2,so,iconic_caus,socially_challenging
14,Luca's father forced him obey to the precepts of his religion.,Luca's father is very religious.,8.333333333333334,4.733333333333333,2.6666666666666665,2.6,because,anticonic_caus,socially_challenging
14,Luca's father is very religious.,Luca's father forced him obey to the precepts of his religion.,5.533333333333333,9.2,2.466666666666667,6.8,so,iconic_caus,socially_challenging
15,Bob believes in the tooth fairy.,Bob is very childish.,7.8,6.4,1.8,3.2666666666666666,because,anticonic_caus,socially_challenging
15,Bob is very childish.,Bob believes in the tooth fairy.,7.933333333333334,8.866666666666667,2.333333333333333,2.8,so,iconic_caus,socially_challenging
16,Gary decided to copy the History essay rather than write it by himself.,Gary does not like to study History.,9.266666666666667,4.466666666666667,2.333333333333333,2.333333333333333,because,anticonic_caus,socially_challenging
16,Gary does not like to study History.,Gary decided to copy the History essay rather than write it by himself.,2.066666666666667,8.2,3.933333333333333,4.333333333333333,so,iconic_caus,socially_challenging
17,Eric eats twenty chocolate bars.,Eric will become fat.,1.2,8.066666666666666,4.733333333333333,6.2,so,iconic_caus,socially_challenging
17,Eric will become fat.,Eric eats twenty chocolate bars.,9.066666666666666,2.066666666666667,6.733333333333333,1.6666666666666667,because,anticonic_caus,socially_challenging
18,Kelly wants to have children.,The company manager did not hire Kelly.,1.1333333333333333,8.4,2.8,4.0,so,iconic_caus,socially_challenging
18,The company manager did not hire Kelly.,Kelly wants to have children.,8.333333333333334,2.533333333333333,3.733333333333333,1.6,because,anticonic_caus,socially_challenging
19,Morgan is a bad parent.,Morgan scolds his child.,8.4,6.8,4.333333333333333,2.4,because,anticonic_caus,socially_challenging
19,Morgan scolds his child.,Morgan is a bad parent.,8.133333333333333,7.066666666666666,3.933333333333333,2.1333333333333333,because,anticonic_caus,socially_challenging
20,Melanie did not have her children vaccinated.,Melanie thinks vaccines are toxic.,9.866666666666667,4.133333333333334,5.2,1.6,because,anticonic_caus,socially_challenging
20,Melanie thinks vaccines are toxic.,Melanie did not have her children vaccinated.,3.333333333333333,8.866666666666667,4.8,7.0,so,iconic_caus,socially_challenging
21,Mark has a lot of sex.,Mark is a prostitute.,8.133333333333333,2.333333333333333,2.066666666666667,1.2,because,anticonic_caus,socially_challenging
21,Mark is a prostitute.,Mark has a lot of sex.,3.333333333333333,8.733333333333333,2.933333333333333,5.6,so,iconic_caus,socially_challenging
22,Jeff decided to drink a glass of whiskey instead of four.,Jeff is the designated driver tonight.,8.0,7.466666666666667,2.466666666666667,3.2666666666666666,because,anticonic_caus,socially_challenging
22,Jeff is the designated driver tonight.,Jeff decided to drink a glass of whiskey instead of four.,3.866666666666666,6.4,4.733333333333333,3.1333333333333333,so,iconic_caus,socially_challenging
23,Karen is a transgender woman.,Karen's parents do not like her.,1.5333333333333334,7.4,2.466666666666667,2.2,so,iconic_caus,socially_challenging
23,Karen's parents do not like her.,Karen is a transgender woman.,8.666666666666666,1.4666666666666666,2.8666666666666667,1.933333333333333,because,anticonic_caus,socially_challenging
24,Mike does not help patients have abortions.,Mike is an objecting doctor.,7.733333333333333,6.733333333333333,2.2,4.333333333333333,because,anticonic_caus,socially_challenging
24,Mike is an objecting doctor.,Mike does not help patients have abortions.,7.266666666666667,8.2,2.533333333333333,3.4,so,iconic_caus,socially_challenging
25,Luca and Mara broke up.,Mara did not want to have children.,9.4,3.533333333333333,8.066666666666666,5.666666666666667,because,anticonic_caus,socially_challenging
25,Mara did not want to have children.,Luca and Mara broke up.,5.333333333333333,8.533333333333333,4.666666666666667,5.266666666666667,so,iconic_caus,socially_challenging
26,Lara did not tell her parents she was lesbian.,Lara's parents are homophobic.,9.4,1.933333333333333,4.333333333333333,2.6,because,anticonic_caus,socially_challenging
26,Lara's parents are homophobic.,Lara did not tell her parents she was lesbian.,2.533333333333333,9.6,3.2,4.2,so,iconic_caus,socially_challenging
27,Karen did not like the cut the hairdresser gave her.,Karen insulted the hairdresser and refused to pay him.,3.6,9.533333333333331,4.333333333333333,7.6,so,iconic_caus,socially_challenging
27,Karen insulted the hairdresser and refused to pay him.,Karen did not like the cut the hairdresser gave her.,9.066666666666666,5.133333333333334,9.666666666666666,2.2666666666666666,after,anticonic_temp,socially_challenging
28,The boy had been in prison.,The shop owner refused to hire the boy.,2.333333333333333,9.133333333333333,2.0,6.466666666666667,so,iconic_caus,socially_challenging
28,The shop owner refused to hire the boy.,The boy had been in prison.,9.933333333333334,1.8666666666666667,8.733333333333333,2.2666666666666666,because,anticonic_caus,socially_challenging
29,The hunter is happy.,The hunter killed many animals.,8.8,5.0,7.4,4.4,because,anticonic_caus,socially_challenging
29,The hunter killed many animals.,The hunter is happy.,2.2666666666666666,8.333333333333334,4.266666666666667,4.666666666666667,so,iconic_caus,socially_challenging
30,Edward attempted to kill his wife.,Edward's wife cheated on him.,9.066666666666666,3.533333333333333,7.933333333333334,4.066666666666666,because,anticonic_caus,socially_challenging
30,Edward's wife cheated on him.,Edward attempted to kill his wife.,4.533333333333333,8.0,5.066666666666666,9.0,then,iconic_temp,socially_challenging
31,John buys cannabis from a pusher.,John is addicted to cannabis.,9.2,4.2,5.4,4.533333333333333,because,anticonic_caus,socially_challenging
31,John is addicted to cannabis.,John buys cannabis from a pusher.,6.266666666666667,8.266666666666667,4.066666666666666,3.6,so,iconic_caus,socially_challenging
32,The girl decided to buy drugs.,The girl is depressed.,8.666666666666666,4.533333333333333,5.666666666666667,2.8,because,anticonic_caus,socially_challenging
32,The girl is depressed.,The girl decided to buy drugs.,5.0,8.333333333333334,3.6666666666666665,5.266666666666667,so,iconic_caus,socially_challenging
33,Millie has become addicted to alcohol.,Millie's depression has never been treated.,8.133333333333333,4.4,6.6,2.6666666666666665,because,anticonic_caus,socially_challenging
